iter	Passed	Remaining
0	274	411757
1	531	398148
2	773	385965
3	963	360263
4	1152	344644
5	1397	348092
6	1607	342790
7	1818	339083
8	2041	338233
9	2257	336329
10	2497	338036
11	2733	338973
12	2951	337571
13	3186	338272
14	3431	339747
15	3645	338154
16	3878	338315
17	4137	340647
18	4377	341183
19	4608	341052
20	4820	339488
21	5050	339313
22	5278	338993
23	5509	338822
24	5718	337416
25	5944	337017
26	6175	336899
27	6358	334299
28	6578	333666
29	6806	333540
30	7053	334251
31	7286	334270
32	7535	334976
33	7775	335277
34	7988	334369
35	8222	334397
36	8469	334899
37	8699	334701
38	8912	333886
39	9140	333635
40	9347	332637
41	9571	332255
42	9796	331950
43	10059	332879
44	10279	332369
45	10532	332918
46	10793	333670
47	11033	333759
48	11254	333282
49	11512	333871
50	11726	333168
51	11971	333349
52	12217	333557
53	12441	333164
54	12693	333505
55	12928	333373
56	13162	333211
57	13414	333503
58	13665	333768
59	13939	334540
60	14197	334910
61	14417	334395
62	14679	334833
63	14916	334685
64	15170	334927
65	15415	334944
66	15634	334397
67	15864	334088
68	16125	334429
69	16389	334813
70	16627	334653
71	16844	334082
72	17103	334344
73	17338	334124
74	17583	334091
75	17827	334025
76	18047	333524
77	18247	332670
78	18530	333320
79	18777	333307
80	19012	333076
81	19256	332995
82	19566	334043
83	19808	333917
84	20062	333984
85	20283	333494
86	20499	332944
87	20711	332320
88	20958	332268
89	21168	331635
90	21472	332476
91	21766	333124
92	22025	333219
93	22226	332453
94	22476	332408
95	22742	332603
96	22951	331975
97	23173	331517
98	23423	331478
99	23662	331281
100	23879	330770
101	24120	330598
102	24348	330237
103	24596	330160
104	24864	330348
105	25128	330458
106	25373	330325
107	25593	329876
108	25836	329711
109	26109	329932
110	26289	328968
111	26502	328445
112	26739	328214
113	26954	327708
114	27209	327698
115	27430	327277
116	27682	327225
117	27914	326931
118	28181	327045
119	28415	326782
120	28660	326633
121	28930	326770
122	29175	326625
123	29450	326803
124	29708	326795
125	29949	326596
126	30193	326425
